country,region,income,health,population
Mauritius,SUB-SAHARAN AFRICA,18350,73.9,1273212
Mexico,LATIN AMER. & CARIB,16850,74.5,127017224
"Micronesia, Fed. Sts.",OCEANIA,3510,67,104460
Moldova,C.W. OF IND. STATES,4896,72.7,4068897
Mongolia,ASIA (EX. NEAR EAST),11819,65.3,2959134
Montenegro,EASTERN EUROPE,14833,75.8,625781
Morocco,NORTHERN AFRICA,7319,74.7,34377511
Mozambique,SUB-SAHARAN AFRICA,1176,56.4,27977863
Myanmar,EAST ASIA,4012,67.9,53897154
Namibia,SUB-SAHARAN AFRICA,10040,61,2458830
Nepal,ASIA (EX. NEAR EAST),2352,71.2,28513700
Netherlands,WESTERN EUROPE,45784,80.6,16924929
New Zealand,OCEANIA,34186,80.6,4528526
Nicaragua,LATIN AMER. & CARIB,4712,76.8,6082032
Niger,SUB-SAHARAN AFRICA,943,62.2,19899120
Nigeria,SUB-SAHARAN AFRICA,5727,61.33,182201962
North Korea,ASIA (EX. NEAR EAST),1390,71.4,25155317
Norway,WESTERN EUROPE,64304,81.6,5210967
Oman,NEAR EAST,48226,75.7,4490541
Pakistan,ASIA (EX. NEAR EAST),4743,66.5,188924874
Panama,LATIN AMER. & CARIB,20485,78.2,3929141
Papua New Guinea,OCEANIA,2529,60.6,7619321
Paraguay,LATIN AMER. & CARIB,8219,73.9,6639123
Peru,LATIN AMER. & CARIB,11903,77.5,31376670
Philippines,ASIA (EX. NEAR EAST),6876,70.2,100699395
Poland,EASTERN EUROPE,24787,77.3,38611794
Portugal,WESTERN EUROPE,26437,79.8,10349803
Qatar,NEAR EAST,132877,82,2235355
Romania,EASTERN EUROPE,19203,76.8,19511324
Russia,C.W. OF IND. STATES,23038,73.13,143456918
Rwanda,SUB-SAHARAN AFRICA,1549,66.53,11609666
Samoa,OCEANIA,5558,72.2,193228
Sao Tome and Principe,SUB-SAHARAN AFRICA,3003,68.8,190344
Saudi Arabia,NEAR EAST,52469,78.1,31540372
Senegal,SUB-SAHARAN AFRICA,2251,66.1,15129273
Serbia,EASTERN EUROPE,12908,78.1,8850975
Seychelles,SUB-SAHARAN AFRICA,25684,73.7,96471
Sierra Leone,SUB-SAHARAN AFRICA,2085,58.5,6453184
Singapore,ASIA (EX. NEAR EAST),80794,82.1,5603740
Slovak Republic,EASTERN EUROPE,27204,76.4,5426258
Slovenia,EASTERN EUROPE,28550,80.2,2067526
Solomon Islands,OCEANIA,2047,64.1,583591
Somalia,SUB-SAHARAN AFRICA,624,58.7,10787104
South Africa,SUB-SAHARAN AFRICA,12509,63.72,54490406
South Korea,ASIA (EX. NEAR EAST),34644,80.7,50293439
South Sudan,SUB-SAHARAN AFRICA,3047,58,12339812
Spain,WESTERN EUROPE,32979,81.7,46121699
Sri Lanka,ASIA (EX. NEAR EAST),10624,76.5,20715010
St. Lucia,LATIN AMER. & CARIB,9997,74.5,184999
St. Vincent and the Grenadines,LATIN AMER. & CARIB,10435,72.9,109462
Sudan,SUB-SAHARAN AFRICA,3975,69.5,40234882
Suriname,LATIN AMER. & CARIB,17125,70.5,542975
Swaziland,SUB-SAHARAN AFRICA,6095,51.5,1286970
Sweden,WESTERN EUROPE,44892,82,9779426
Switzerland,WESTERN EUROPE,56118,82.9,8298663
Syria,NEAR EAST,4637,70.26,18502413
Tajikistan,C.W. OF IND. STATES,2582,71,8481855
Tanzania,SUB-SAHARAN AFRICA,2571,63.43,53470420
Thailand,ASIA (EX. NEAR EAST),14512,75.1,67959359
Timor-Leste,ASIA (EX. NEAR EAST),2086,72.4,1184765
Togo,SUB-SAHARAN AFRICA,1433,64.23,7304578
Tonga,OCEANIA,5069,70.5,106170
Trinidad and Tobago,LATIN AMER. & CARIB,30113,71.4,1360088
Tunisia,NORTHERN AFRICA,11126,77.3,11253554
Turkey,NEAR EAST,19360,76.5,78665830
Turkmenistan,C.W. OF IND. STATES,15865,67.9,5373502
Uganda,SUB-SAHARAN AFRICA,1680,60.8,39032383
Ukraine,C.W. OF IND. STATES,8449,72.1,44823765
United Arab Emirates,NEAR EAST,60749,76.6,9156963
United Kingdom,WESTERN EUROPE,38225,81.4,64715810
United States,NORTHERN AMERICA,53354,79.1,321773631
Uruguay,LATIN AMER. & CARIB,20438,77.3,3431555
Uzbekistan,C.W. OF IND. STATES,5598,70.1,29893488
Vanuatu,OCEANIA,2912,65,264652
Venezuela,LATIN AMER. & CARIB,15753,75.8,31108083
Vietnam,ASIA (EX. NEAR EAST),5623,76.5,93447601
West Bank and Gaza,NEAR EAST,4319,75.2,4668466
Yemen,NEAR EAST,3887,67.6,26832215
Zambia,SUB-SAHARAN AFRICA,4034,58.96,16211767
Zimbabwe,SUB-SAHARAN AFRICA,1801,60.01,15602751
